,code,title,pointsR1,pointsR2,LEVEL
656,GY124,Arts (Arts with Data Science),454,,8
657,GY125,Arts (Digital Arts and Technology),328,,8
658,GY126,Arts (English and Media Studies),391,,8
659,GY127,Arts (Film and Digital Media),401,,8
660,GY128,Arts (Global Languages),352,,8
661,GY129,Arts (International),420,,8
662,GY130,Arts (Music),408,,8
663,GY131,Arts (History and Globalisation Studies),360,,8
664,GY132,"Government (Politics, Economics and Law)",407,,8
665,GY133,Education (Computer Science and Mathematical Studies),422,,8
666,GY134,Geography and Geosystems,410,,8
667,GY201,Commerce,433,,8
668,GY202,Commerce (International) with French,484,,8
669,GY203,Commerce (International) with German,489,,8
670,GY204,Commerce (International) with Spanish,495,,8
671,GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,,8
672,GY207,Commerce (Accounting) including optional Global Experience year,509,,8
673,GY208,Commerce (Gaeilge),473,,8
674,GY209,Commerce (Global Experience),530,,8
675,GY250,Law and Business,487,,8
676,GY251,Law (BCL),499,,8
677,GY252,Law (BCL) and Human Rights,520,,8
678,GY253,Law and Taxation,509,,8
679,GY254,"Law (BCL), Criminology and Criminal Justice",530,,8
680,GY261,"Business Studies (International Hotel Management, interview)",497,,8
681,GY262,"Commerce (International Hotel Management, interview)",681,,8
682,GY301,Science,433,432,8
683,GY303,Biomedical Science,556,,8
684,GY304,Biotechnology,465,,8
685,GY308,Environmental Science,408,,8
686,GY309,Financial Mathematics and Economics,487,,8
687,GY310,Marine Science,419,,8
688,GY313,Environmental Health and Safety,412,,8
689,GY314,Earth and Ocean Sciences,403,,8
690,GY318,Biopharmaceutical Chemistry,509,,8
691,GY319,Mathematical Science,476,,8
692,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,,8
693,GY321,Genetics and Genomics,508,,8
694,GY350,Computer Science and Information Technology,403,,8
695,GY401,Engineering (Undenominated),465,,8
696,GY402,Civil Engineering,455,,8
697,GY405,Mechanical Engineering,454,,8
698,GY406,Electronic and Computer Engineering,510,,8
699,GY408,Biomedical Engineering,509,,8
700,GY410,Project and Construction Management,403,,8
701,GY413,Energy Systems Engineering,502,,8
702,GY414,Electrical and Electronic Engineering,405,,8
703,GY501,"Medicine (five year/six year course, HPAT required)",728,,8
704,GY502,Occupational Therapy,555,,8
705,GY503,Speech and Language Therapy,543,,8
706,GY504,Podiatric Medicine,443,,8
707,GY515,General Nursing (Galway and Portiuncula),476,473,8
708,GY516,Mental Health Nursing,440,,8
709,GY517,Midwifery,495,,8
710,ID001,Accounting and Finance,203,,8
711,ID002,Business Studies,294,,8
712,LC110,"Art and Design (Common Entry, portfolio)",740,,8
713,LC114,Fashion and Textiles for Product and Costume (portfolio),880,,8
714,LC115,Art and Design Teacher Education (portfolio),942,,8
715,LC220,Digital Marketing,262,,8
