code,Title,EOS_20,EOS_19
GY113,Arts with Human Rights,368.0,338.0
GY115,Arts with Performing Arts Studies,387.0,328.0
GY118,"Arts (Drama, Theatre and Performance Studies)",451.0,410.0
GY119,Arts (Journalism),400.0,410.0
GY120,"Arts (Child, Youth and Family: Policy and Practice)",350.0,309.0
GY121,Arts (Children`s Studies),356.0,356.0
GY122,Na Dána (Cumarsáid agus Gaeilge),361.0,308.0
GY123,Applied Social Sciences,358.0,357.0
GY124,Arts (Arts with Data Science),454.0,434.0
GY125,Arts (Digital Arts and Technology),328.0,324.0
GY126,Arts (English and Media Studies),391.0,418.0
GY127,Arts (Film and Digital Media),401.0,387.0
GY128,Arts (Global Languages),352.0,370.0
GY129,Arts (International),420.0,408.0
GY130,Arts (Music),408.0,400.0
GY131,Arts (History and Globalisation Studies),360.0,340.0
GY132,"Government (Politics, Economics and Law)",407.0,402.0
GY133,Education (Computer Science and Mathematical Studies),422.0,401.0
GY201,Commerce,433.0,420.0
GY202,Commerce (International) with French,484.0,484.0
GY203,Commerce (International) with German,489.0,489.0
GY204,Commerce (International) with Spanish,495.0,484.0
GY206,Business Information Systems (Work Placement & Optional Int`l Study),465.0,431.0
GY207,Commerce (Accounting) including optional Global Experience year,509.0,486.0
GY208,Commerce (Gaeilge),473.0,473.0
GY209,Commerce (Global Experience),530.0,509.0
GY250,Law and Business,487.0,436.0
GY251,Law (BCL),499.0,473.0
GY252,Law (BCL) and Human Rights,520.0,510.0
GY301,Science,432.0,400.0
GY303,Biomedical Science,556.0,533.0
GY304,Biotechnology,465.0,473.0
GY308,Environmental Science,408.0,413.0
GY309,Financial Mathematics and Economics,487.0,454.0
GY310,Marine Science,419.0,409.0
GY313,Environmental Health and Safety,412.0,402.0
GY314,Earth and Ocean Sciences,403.0,402.0
GY318,Biopharmaceutical Chemistry,509.0,510.0
GY319,Mathematical Science,476.0,456.0
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402.0,401.0
GY350,Computer Science and Information Technology,403.0,425.0
GY401,Engineering (Undenominated),465.0,444.0
GY402,Civil Engineering,455.0,509.0
GY405,Mechanical Engineering,454.0,443.0
GY406,Electronic and Computer Engineering,510.0,509.0
GY408,Biomedical Engineering,509.0,519.0
GY410,Project and Construction Management,403.0,434.0
GY413,Energy Systems Engineering,502.0,532.0
GY414,Electrical and Electronic Engineering,405.0,454.0
GY502,Occupational Therapy,555.0,532.0
GY503,Speech and Language Therapy,543.0,529.0
GY504,Podiatric Medicine,443.0,434.0
GY515,General Nursing (Galway and Portiuncula),473.0,442.0
GY516,Mental Health Nursing,440.0,388.0
GY517,Midwifery,495.0,429.0
ID001,Accounting and Finance,203.0,229.0
ID002,Business Studies,294.0,285.0
LC220,Digital Marketing,262.0,254.0
LC223,Law and Taxation,307.0,308.0
LC224,Accounting and Finance,300.0,299.0
LC225,Marketing and Management,298.0,298.0
LC226,Enterprise and Innovation,234.0,216.0
LC233,Software Development,272.0,300.0
LC234,Interactive Digital Media,225.0,219.0
LC236,Internet Systems Development,260.0,298.0
LC239,Computer Networks and Systems Management,309.0,335.0
LC241,Construction Management,255.0,276.0
LC242,Property Valuation and Management,282.0,292.0
LC243,Quantity Surveying,298.0,281.0
LC248,Built Environment (Common Entry),288.0,307.0
LC252,Civil Engineering Management,270.0,281.0
LC263,Clinical Technology,294.0,282.0
LC265,Forensic and Pharmaceutical Sciences,413.0,335.0
LC266,Drug and Medicinal Product Analysis,262.0,236.0
LC275,Electrical Engineering,298.0,288.0
LC288,Mechanical Engineering,346.0,307.0
LC289,Precision Engineering,291.0,280.0
LC292,Social Care Work,367.0,360.0
LC293,Business Studies with Travel and Tourism Management,307.0,299.0
LC294,Business Studies with Event Management,279.0,271.0
LC295,Business Studies with Sports Management,252.0,263.0
LC297,Community Development,235.0,217.0
LC320,Business,346.0,337.0
LC330,Business with Computing,297.0,298.0
LC340,Interior Design,350.0,298.0
LC362,Biotechnology and Biopharmaceutical Sciences,413.0,379.0
LC371,Creative Broadcast and Film Production,309.0,298.0
LC372,Music Technology and Production,325.0,321.0
LC374,Renewable and Electrical Energy Engineering,318.0,317.0
LC375,Industrial Automation and Robotic Systems,317.0,321.0
LC376,Electronic Engineering,318.0,308.0
LC380,Automotive Engineering and Transport Management,298.0,282.0
LC392,Business Studies in Beauty and Spa Management,236.0,217.0
LC393,Early Childhood Education and Care,236.0,260.0
LC401,Early Childhood Education and Care,297.0,298.0
LC402,Social Care Work,225.0,209.0
LC408,Environmental Science and Climate,279.0,262.0
LC418,Computing - Games Design and Development,270.0,271.0
LC422,Sports Strength and Conditioning,298.0,288.0
LC434,Environmental Science and Agriculture,297.0,278.0
LC517,Creative Media and Design,234.0,229.0
LC612,Social Care Work,320.0,319.0
LC613,Early Childhood Education and Care,242.0,346.0
LM002,Arts,348.0,329.0
LM020,Law and Accounting,465.0,436.0
LM028,Criminal Justice,418.0,387.0
LM029,Law Plus,490.0,473.0
LM038,Psychology and Sociology,500.0,478.0
LM039,Journalism and Digital Communication,402.0,388.0
LM040,European Studies,369.0,350.0
LM044,Applied Languages,442.0,404.0
LM050,Business Studies (options),431.0,419.0
LM056,International Business,528.0,511.0
LM058,Financial Mathematics,403.0,434.0
LM063,Technology Management,379.0,372.0
LM068,Food Science and Health,421.0,400.0
LM077,Aeronautical Engineering,520.0,469.0
LM082,Construction Management and Engineering,398.0,368.0
LM089,Sport and Exercise Sciences,474.0,441.0
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507.0,478.0
LM093,Equine Science,339.0,338.0
